Dataset,Class,Method,DTW,ShapeDTW,SoftDTW,KDTW,MSM,SBD
ArticularyWordRecognition,1.0,DBA,44.86583076420356,2330.863165316615,1975.51481158402,0.0,1241.491894430405,0.8659131312023313
ArticularyWordRecognition,1.0,Shape-DBA,15.703665855162754,326.4373182106377,157.52610009432547,4.2636664572028955e-55,438.2345512878569,0.1193375380696101
ArticularyWordRecognition,1.0,Soft-DBA,45.08121811192255,2329.248819972366,1994.9524460822784,0.0,1239.7016501169253,0.8599771872592351
ArticularyWordRecognition,1.0,TEKA,44.11682683377328,2273.908571616779,1912.0656907582477,0.0,1224.31513454345,0.8634194883551113
ArticularyWordRecognition,10.0,DBA,42.04841754903965,2024.4138347255755,1731.8684067197432,0.0,1160.6445951114742,0.8445887555757411
ArticularyWordRecognition,10.0,Shape-DBA,24.1013310710915,617.7233820402306,511.7542304114064,1.3789278137953515e-220,610.3394823785754,0.2619235783198584
ArticularyWordRecognition,10.0,Soft-DBA,42.43860598062032,2063.55457455733,1765.5138433542636,0.0,1163.8362212318948,0.8295632771223752
ArticularyWordRecognition,10.0,TEKA,40.93532164481571,1908.8028281412328,1634.812614731792,0.0,1128.1894986924233,0.8410090522499157
ArticularyWordRecognition,11.0,DBA,45.87542674178624,2390.475929380901,2082.452441351057,0.0,1239.207576144299,0.8661602632122907
ArticularyWordRecognition,11.0,Shape-DBA,13.783333958534234,205.84226432974225,53.660713670102666,1.0948617926939244e-68,374.24983191931386,0.0959928051547208
ArticularyWordRecognition,11.0,Soft-DBA,45.94120993762001,2391.0272360212334,2087.927392423296,0.0,1230.9660552531482,0.865624196729888
ArticularyWordRecognition,11.0,TEKA,43.802960994211226,2195.651169976826,1893.251813014916,0.0,1194.6505171711112,0.8711578312089597
ArticularyWordRecognition,12.0,DBA,43.16201496915444,2084.538855191083,1839.1138769333336,0.0,1179.3617987830762,0.8937509397088058
ArticularyWordRecognition,12.0,Shape-DBA,23.906517723970538,610.2657973547031,516.4482614701141,8.190568046257619e-193,632.9570708804174,0.2524126115001781
ArticularyWordRecognition,12.0,Soft-DBA,43.32579812108289,2105.572677251909,1853.395876487985,0.0,1173.039775831809,0.8829192177205377
ArticularyWordRecognition,12.0,TEKA,42.13179301131065,1982.3972829554616,1748.6755485001124,0.0,1149.5643424116197,0.8897916343432274
ArticularyWordRecognition,13.0,DBA,46.491228615234505,2302.253542446528,2137.642617689536,0.0,1256.2137112011849,0.859384596636232
ArticularyWordRecognition,13.0,Shape-DBA,17.62555484076118,340.8269354147149,208.47102625447155,6.2604980173832634e-83,462.50541541359866,0.1293916451399686
ArticularyWordRecognition,13.0,Soft-DBA,46.84103415200027,2348.5380677015214,2170.7795256131008,0.0,1257.7289848056266,0.8462812817849837
ArticularyWordRecognition,13.0,TEKA,45.37612087470489,2182.068141798408,2033.9791296596316,0.0,1215.4686187625127,0.8696772750531151
ArticularyWordRecognition,14.0,DBA,44.97900588273141,2250.3462157445374,1995.67434693579,0.0,1228.731823523579,0.8531565784681456
ArticularyWordRecognition,14.0,Shape-DBA,17.31646507606211,341.1596830567394,201.2719543017343,1.1448054137289414e-84,503.2506571350781,0.1536489423008313
ArticularyWordRecognition,14.0,Soft-DBA,44.68565618113706,2225.309399869404,1970.052828151595,0.0,1221.2274629548915,0.8395735396568135
ArticularyWordRecognition,14.0,TEKA,43.42764541704382,2091.8628257941477,1856.2721066357944,0.0,1183.2729152571408,0.8541182967935945
ArticularyWordRecognition,15.0,DBA,43.62101292683632,2196.951010857721,1873.4090880898689,0.0,1201.2808698672186,0.8505324661625798
ArticularyWordRecognition,15.0,Shape-DBA,20.91690404709885,465.5359340162126,357.81242602164883,9.86813072938694e-159,562.1440083937847,0.2031008694684461
ArticularyWordRecognition,15.0,Soft-DBA,44.21597320606301,2285.301973783671,1928.485409767988,0.0,1225.2175235275167,0.8277078533305398
ArticularyWordRecognition,15.0,TEKA,42.80237427020493,2095.9609243705268,1799.4182396687854,0.0,1173.1997537963666,0.8495013086636346
ArticularyWordRecognition,16.0,DBA,38.68474605855621,2153.6474979404798,1462.6725337606065,0.0,1173.2300188005072,0.8929680507052469
ArticularyWordRecognition,16.0,Shape-DBA,19.97890559940185,446.9682512777965,313.22215788140454,1.4269274012295504e-139,615.7255792913825,0.2337972998075399
ArticularyWordRecognition,16.0,Soft-DBA,38.9323911598692,2169.51745215562,1479.5501761521552,0.0,1170.7539916730036,0.8958176722390737
ArticularyWordRecognition,16.0,TEKA,36.996710124191694,1995.03088221962,1329.848122470598,0.0,1126.9942079954687,0.8846571931773805
ArticularyWordRecognition,17.0,DBA,44.70119056796257,2172.647141825761,1958.7107204570511,0.0,1156.6548951139462,0.8272542318999809
ArticularyWordRecognition,17.0,Shape-DBA,20.40805987896568,456.7079069116955,323.7406497806235,2.948694626178151e-128,578.2357140783316,0.1966160639352505
ArticularyWordRecognition,17.0,Soft-DBA,44.71488554218741,2174.524256675173,1960.5466497189784,0.0,1152.5520840501958,0.807639856875998
ArticularyWordRecognition,17.0,TEKA,43.82897335171528,2078.910714846768,1879.7773098921857,0.0,1122.9387356521752,0.8359636184814889
ArticularyWordRecognition,18.0,DBA,46.96462452267504,2400.746705191028,2176.365122415232,0.0,1241.690863136865,0.8665449909916759
ArticularyWordRecognition,18.0,Shape-DBA,15.455661020994937,264.6950980246093,112.00199701886314,2.23283825213473e-79,485.5891643165904,0.1374918037348695
ArticularyWordRecognition,18.0,Soft-DBA,48.11881965516972,2500.32112389121,2285.68468270418,0.0,1243.3534480829403,0.8801613395362129
ArticularyWordRecognition,18.0,TEKA,45.80497577480926,2256.149426498141,2066.967756923112,0.0,1195.1671114470007,0.8769757802513104
ArticularyWordRecognition,19.0,DBA,43.42660091737385,2158.412416560087,1860.631741046416,0.0,1186.946904116846,0.8712201538626093
ArticularyWordRecognition,19.0,Shape-DBA,20.051992930960065,443.8022870097536,316.02812469524764,3.6693134572085764e-159,546.4777588253191,0.1989629297131253
ArticularyWordRecognition,19.0,Soft-DBA,43.72543955502584,2180.1505708647564,1886.0269604442956,0.0,1190.6404903110845,0.8613454015241355
ArticularyWordRecognition,19.0,TEKA,41.51298860287415,2011.223290029457,1694.865838966804,0.0,1138.2618630621414,0.8580713872704259
ArticularyWordRecognition,2.0,DBA,44.95644096364324,2348.848280880757,1994.4223858105745,0.0,1265.3171085110507,0.8580257299428652
ArticularyWordRecognition,2.0,Shape-DBA,14.487445740214044,226.6325715785705,72.18437284672953,2.1127017096131054e-76,414.4787065770195,0.1393624217408473
ArticularyWordRecognition,2.0,Soft-DBA,45.03683656380106,2355.772431251061,2002.5488162828608,0.0,1264.8643687949482,0.845311679054687
ArticularyWordRecognition,2.0,TEKA,43.06660238738062,2204.6642333990576,1823.0664158649693,0.0,1223.645971034657,0.8480338799260584
ArticularyWordRecognition,20.0,DBA,44.837109987242,2224.360611353042,1987.462556871542,0.0,1184.344881476026,0.8695719973009526
ArticularyWordRecognition,20.0,Shape-DBA,21.17385704333902,485.6095136893265,369.6775007768494,3.384520911455154e-175,562.1454077297567,0.2084921508790281
ArticularyWordRecognition,20.0,Soft-DBA,45.26757728242585,2252.7409855142555,2026.0082121433195,0.0,1187.2674991053093,0.8685234983442297
ArticularyWordRecognition,20.0,TEKA,43.47103975273208,2067.982680675728,1863.1187505630996,0.0,1149.1377025714255,0.8673971192722538
ArticularyWordRecognition,21.0,DBA,43.47030260574928,2118.7416592474124,1859.2540579809704,0.0,1186.8785857978455,0.8683018148547457
ArticularyWordRecognition,21.0,Shape-DBA,20.916508191753376,471.0625618064016,345.66733829564384,9.573240090090493e-150,547.4096600773292,0.214124367693136
ArticularyWordRecognition,21.0,Soft-DBA,43.45768574269734,2123.416683950948,1856.360764527376,0.0,1182.5333094198495,0.8625056262499986
ArticularyWordRecognition,21.0,TEKA,42.2863819577076,2009.004183484133,1754.3316591733833,0.0,1154.0817492309995,0.8658347184915296
ArticularyWordRecognition,22.0,DBA,45.09746156597294,2403.221163203383,2001.84687856298,0.0,1246.7315545596634,0.8856030525966279
ArticularyWordRecognition,22.0,Shape-DBA,17.25125241502926,323.7994513100883,192.50884150671385,9.337205067662132e-86,452.7745486852048,0.1177534106309558
ArticularyWordRecognition,22.0,Soft-DBA,45.73747219870928,2453.476225950501,2059.1641808567542,0.0,1250.318173327718,0.8682361208562166
ArticularyWordRecognition,22.0,TEKA,43.61369001541671,2264.8804558655743,1866.3352194581807,0.0,1217.2288381211015,0.8750590649285577
ArticularyWordRecognition,23.0,DBA,44.0321212371892,2358.8306031544303,1914.4442983574925,0.0,1253.5803398883445,0.9096111668221228
ArticularyWordRecognition,23.0,Shape-DBA,14.48162267879179,239.76225413689613,82.11617370486894,7.893082439962719e-74,370.2096384218643,0.0964440274537551
ArticularyWordRecognition,23.0,Soft-DBA,44.07520962361765,2394.679222755107,1915.5802735279688,0.0,1257.1193982191555,0.905033150544448
ArticularyWordRecognition,23.0,TEKA,42.78832742039072,2241.695732301681,1806.515293232616,0.0,1222.6701480121503,0.909658448258771
ArticularyWordRecognition,24.0,DBA,44.42107232650992,2324.241313807041,1941.3209996731152,0.0,1243.9939052406264,0.8805137142449027
ArticularyWordRecognition,24.0,Shape-DBA,13.819578070957052,210.64907415553895,56.712496997143134,5.4571646558590666e-58,372.3914131616853,0.0959354159113071
ArticularyWordRecognition,24.0,Soft-DBA,44.54961885201191,2364.6306932375187,1952.6157050498264,0.0,1247.9589595083976,0.8831245800855843
ArticularyWordRecognition,24.0,TEKA,42.81029713401011,2172.3616726664136,1796.17139361161,0.0,1213.1135595488286,0.8692223587999532
ArticularyWordRecognition,25.0,DBA,46.62661220271192,2355.9226678340297,2143.638278336391,0.0,1222.930685672388,0.8663569585306145
ArticularyWordRecognition,25.0,Shape-DBA,11.512336706120491,146.6821336298789,-31.37376960758776,1.6735485959735647e-39,307.61882919351774,0.0680777139702335
ArticularyWordRecognition,25.0,Soft-DBA,46.398833430190486,2338.984678351903,2122.553326119695,0.0,1213.6373766483823,0.868528697723183
ArticularyWordRecognition,25.0,TEKA,45.46334749931349,2258.029747205775,2035.0647325711848,0.0,1197.3257555946443,0.8641269354603878
ArticularyWordRecognition,3.0,DBA,44.22190413586784,2274.9512240656422,1923.1499963333813,0.0,1250.0978243060383,0.882535025231752
ArticularyWordRecognition,3.0,Shape-DBA,15.064299007819576,249.6096081972174,99.34559972961895,3.823823346245721e-59,392.4684172532236,0.0984594380589795
ArticularyWordRecognition,3.0,Soft-DBA,44.29788193618786,2267.428595722413,1928.7175193765356,0.0,1241.0422576105263,0.8773932444653125
ArticularyWordRecognition,3.0,TEKA,43.14189623417804,2142.9524341820525,1826.86760816642,0.0,1218.2061514455424,0.8773720340100952
ArticularyWordRecognition,4.0,DBA,45.00980348359203,2174.48821526564,2005.7966814961192,0.0,1208.6643462074164,0.8886595802954139
ArticularyWordRecognition,4.0,Shape-DBA,20.458470965842046,440.86637703521086,333.59666517268033,1.432014347382597e-169,513.9163516663425,0.1813047889966031
ArticularyWordRecognition,4.0,Soft-DBA,45.27401658368921,2218.844005153421,2028.622891018544,0.0,1204.8191092911668,0.8682125167475835
ArticularyWordRecognition,4.0,TEKA,43.98044283109803,2073.0299516220407,1910.9812106247864,0.0,1178.3087612164134,0.8932854856718287
ArticularyWordRecognition,5.0,DBA,47.17446653667849,2342.372068257388,2203.931197649765,0.0,1246.4116534644666,0.8827302369279412
ArticularyWordRecognition,5.0,Shape-DBA,17.6119726632924,324.55395294939257,198.51647617064472,2.7390460291013812e-111,457.1167203242997,0.1457753783550618
ArticularyWordRecognition,5.0,Soft-DBA,47.44471664829173,2360.568627900624,2229.694315863623,0.0,1244.4579103360063,0.8764207206097083
ArticularyWordRecognition,5.0,TEKA,46.00688204335814,2222.8875959429565,2094.5162495708805,0.0,1208.425984971627,0.8847722754452879
ArticularyWordRecognition,6.0,DBA,46.55751391755456,2524.377858495744,2143.6365423080474,0.0,1272.1158722635578,0.8863853561190591
ArticularyWordRecognition,6.0,Shape-DBA,11.100901103006288,137.74610661591035,-39.41805598516475,1.3340023140910725e-42,316.08215943507645,0.0725206254821963
ArticularyWordRecognition,6.0,Soft-DBA,46.75361218253266,2506.4676434577896,2161.299835839957,0.0,1262.6494373466144,0.9048612341306008
ArticularyWordRecognition,6.0,TEKA,45.06639288973351,2347.650625868044,2000.975532290344,0.0,1237.749931767652,0.8959218833958922
ArticularyWordRecognition,7.0,DBA,44.71642871233983,2211.908142722808,1965.1001995722493,0.0,1221.4512627027054,0.82877299790135
